platform,architecture,packer,option,name,seq1,seq2,seq3,seq4,seq5,seq6,seq7,seq8,seq9,seq10,seq11,seq12,seq13,seq14,seq15
Windows7,32bit,ASPack,Default,ieUnatt.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,DisplaySwitch.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,Dxpserver.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,sdiagnhost.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,w32tm.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,mofcomp.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,TpmInit.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,slui.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,winload.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,pcaui.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,TSTheme.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,SystemPropertiesProtection.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,wscript.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,klist.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,psr.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,sysprep.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,wbengine.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,services.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,bootsect.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,regini.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,WPDShextAutoplay.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,LicensingUI.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,DismHost.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,wbadmin.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,msoobe.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,ddodiag.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,mblctr.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows7,32bit,ASPack,Default,VaultCmd.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
Windows8,32bit,ASPack,Default,rasdial.exe,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0
