kernel,C,gamma,accuracy,execution_time
rbf,4,0.0078125,0.855731225,4.486976862
rbf,8,0.0078125,0.855731225,2.766226053
rbf,16,0.0078125,0.853754941,4.43484807
rbf,32,0.0078125,0.853754941,3.07139802
rbf,64,0.0078125,0.853754941,4.378586054
rbf,4,0.015625,0.843873518,2.866040945
rbf,8,0.015625,0.843873518,4.38046813
rbf,16,0.015625,0.843873518,4.433335066
rbf,32,0.015625,0.843873518,3.188639879
rbf,64,0.015625,0.843873518,4.379546881
rbf,4,0.03125,0.83201581,4.490196943
rbf,8,0.03125,0.83201581,3.044909
rbf,16,0.03125,0.83201581,4.427927971
rbf,32,0.03125,0.83201581,2.655516863
rbf,64,0.03125,0.83201581,4.499895811
rbf,4,0.0625,0.814229249,4.376132011
rbf,8,0.0625,0.814229249,4.399194956
rbf,16,0.0625,0.814229249,4.429532051
rbf,32,0.0625,0.814229249,4.446643114
rbf,64,0.0625,0.814229249,4.595338106
rbf,4,0.125,0.802371542,4.369164944
rbf,8,0.125,0.802371542,4.504397154
rbf,16,0.125,0.802371542,2.858179092
rbf,32,0.125,0.802371542,4.331297874
rbf,64,0.125,0.802371542,4.487607956
rbf_ed_kernel,32,0.125,0.960474308,1216.576708
rbf_ed_kernel,32,0.0625,0.960474308,1138.723774
rbf_ed_kernel,32,0.03125,0.960474308,1227.789862
rbf_ed_kernel,32,0.015625,0.960474308,1206.481743
rbf_ed_kernel,32,0.0078125,0.960474308,1138.05357
rbf_ed_kernel,64,0.125,0.958498024,1145.643196
rbf_ed_kernel,64,0.0625,0.958498024,1210.814162
rbf_ed_kernel,64,0.03125,0.958498024,1162.809234
rbf_ed_kernel,64,0.015625,0.958498024,1086.031373
rbf_ed_kernel,64,0.0078125,0.958498024,1192.805801
rbf_ed_kernel,8,0.125,0.946640316,1192.716506
rbf_ed_kernel,8,0.0625,0.946640316,1172.115757
rbf_ed_kernel,8,0.03125,0.946640316,1177.969364
rbf_ed_kernel,8,0.015625,0.946640316,1180.196174
rbf_ed_kernel,8,0.0078125,0.946640316,1217.032773
rbf_ed_kernel,16,0.125,0.946640316,1127.485284
rbf_ed_kernel,16,0.0625,0.946640316,1127.64631
rbf_ed_kernel,16,0.03125,0.946640316,1142.783674
rbf_ed_kernel,16,0.015625,0.946640316,1201.463218
rbf_ed_kernel,16,0.0078125,0.946640316,1131.270755
rbf_ed_kernel,4,0.125,0.938735178,1148.970175
rbf_ed_kernel,4,0.0625,0.938735178,1131.191231
rbf_ed_kernel,4,0.03125,0.938735178,1203.612061
rbf_ed_kernel,4,0.015625,0.938735178,1167.218983
rbf_ed_kernel,4,0.0078125,0.938735178,1154.212907
rbf_lcs_kernel,32,0.125,0.988142292,340.8728209
rbf_lcs_kernel,32,0.0625,0.988142292,347.0534601
rbf_lcs_kernel,32,0.03125,0.988142292,353.6303141
rbf_lcs_kernel,32,0.015625,0.988142292,349.8582048
rbf_lcs_kernel,32,0.0078125,0.988142292,355.504251
rbf_lcs_kernel,64,0.125,0.988142292,354.2401469
